date_end,week,total_deaths_wk11,total_deaths_wk12,total_deaths_wk13,total_deaths_wk15,total_deaths_wk16,total_deaths_wk17,total_deaths_wk18,total_deaths_wk19,total_deaths_wk20,
2020-01-04,1,58822,58961,59033,59087,59146,59446,59546,59576,59674,3-Jan-20
2020-01-11,2,58657,58949,59039,59138,59181,59732,59887,59919,59967,10-Jan-20
2020-01-18,3,56923,57352,57503,57597,57649,58231,58373,58400,58458,17-Jan-20
2020-01-25,4,56095,56650,56865,56984,57049,57649,57811,57855,57889,24-Jan-20
2020-02-01,5,54909,55832,56214,56409,56512,57120,57298,57385,57439,31-Jan-20
2020-02-08,6,55036,55974,56568,56944,57118,57491,57638,57996,58118,7-Feb-20
2020-02-15,7,53444,54232,55095,55967,56325,56749,56943,57339,57460,14-Feb-20
2020-02-22,8,52917,53674,54632,55476,56021,56647,56878,57336,57485,21-Feb-20
2020-02-29,9,51669,53329,54072,54819,55623,56700,57103,57630,57821,28-Feb-20
2020-03-07,10,47856,51914,53397,54087,55155,56013,56632,57160,57547,6-Mar-20
2020-03-14,11,37527,47601,50729,52142,53027,53780,54691,55645,56262,13-Mar-20
2020-03-21,12,0,39911,48349,51545,53070,53747,54791,55771,56667,20-Mar-20
2020-03-28,13,0,0,44335,52241,55727,57087,57807,58764,60196,27-Mar-20
2020-04-04,14,0,0,0,49242,60136,63744,65532,66439,68165,3-Apr-20
2020-04-11,15,0,0,0,27301,55724,65460,69848,71842,73581,10-Apr-20
2020-04-18,16,0,0,0,0,27907,52438,62903,66912,69533,17-Apr-20
2020-04-25,17,0,0,0,0,0,23797,47407,57622,63336,24-Apr-20
2020-05-02,18,0,0,0,0,0,0,21488,42973,55506,1-May-20
2020-05-09,19,0,0,0,0,0,0,0,19956,44504,8-May-20
2020-05-16,20,0,0,0,0,0,0,0,0,20241,15-May-20