AREA,SUB AREA,AGE GROUP,SEASON,WEEK,PERCENT P&I,NUM INFLUENZA DEATHS,NUM PNEUMONIA DEATHS,TOTAL DEATHS,PERCENT COMPLETE
State,Montana,All,2019-20,48,5.7,1,10,192,> 100%
State,Montana,All,2019-20,49,6.6,0,15,227,> 100%
State,Montana,All,2019-20,50,5.9,1,11,202,> 100%
State,Montana,All,2019-20,51,7.1,1,13,197,> 100%
State,Montana,All,2019-20,52,7,0,12,171,91.8%
State,Montana,All,2019-20,1,6.8,1,15,234,> 100%
State,Montana,All,2019-20,2,7.1,3,12,212,> 100%
State,Montana,All,2019-20,3,5.7,0,12,212,> 100%
State,Montana,All,2019-20,4,3.5,0,7,201,> 100%
State,Montana,All,2019-20,5,5.8,1,12,225,> 100%
State,Montana,All,2019-20,6,5.4,2,9,203,> 100%
State,Montana,All,2019-20,7,6.2,3,9,195,> 100%
State,Montana,All,2019-20,8,8,2,16,226,> 100%
State,Montana,All,2019-20,9,5,2,10,238,> 100%
State,Montana,All,2019-20,10,8.6,6,13,221,> 100%
State,Montana,All,2019-20,11,8.5,7,12,224,> 100%
State,Montana,All,2019-20,12,11.8,5,22,228,> 100%
State,Montana,All,2019-20,13,10.9,3,19,202,> 100%
State,Montana,All,2019-20,14,8,1,13,175,94%
State,Montana,All,2019-20,15,2.8,0,4,143,76.8%
State,Montana,All,2019-20,16,,Insufficient Data,Insufficient Data,Insufficient Data,< 20%
State,Montana,All,2019-20,17,,Insufficient Data,Insufficient Data,Insufficient Data,< 20%
State,Nebraska,All,2019-20,40,6,0,19,318,> 100%
State,Nebraska,All,2019-20,41,6.5,0,23,354,> 100%
State,Nebraska,All,2019-20,42,7.8,0,25,319,> 100%
State,Nebraska,All,2019-20,43,9.6,0,33,344,> 100%
State,Nebraska,All,2019-20,44,5.4,0,17,314,> 100%
State,Nebraska,All,2019-20,45,6.3,0,19,301,96.4%
State,Nebraska,All,2019-20,46,7.8,0,25,320,> 100%
State,Nebraska,All,2019-20,47,6.7,0,22,329,> 100%
State,Nebraska,All,2019-20,48,6.3,0,19,303,97%
State,Nebraska,All,2019-20,49,7.2,1,24,347,> 100%
State,Nebraska,All,2019-20,50,6.8,1,22,338,> 100%
State,Nebraska,All,2019-20,51,6.7,2,23,375,> 100%
State,Nebraska,All,2019-20,52,7.4,2,24,351,> 100%
State,Nebraska,All,2019-20,1,8.7,6,24,344,> 100%
State,Nebraska,All,2019-20,2,12,9,34,358,> 100%
State,Nebraska,All,2019-20,3,11.2,4,32,322,> 100%
State,Nebraska,All,2019-20,4,8,5,24,364,> 100%
State,Nebraska,All,2019-20,5,8.9,6,26,361,> 100%
State,Nebraska,All,2019-20,6,7.7,4,22,336,> 100%
State,Nebraska,All,2019-20,7,9.1,3,26,319,> 100%
State,Nebraska,All,2019-20,8,8.9,2,26,314,> 100%
State,Nebraska,All,2019-20,9,6.9,2,21,332,> 100%
State,Nebraska,All,2019-20,10,8.8,2,29,351,> 100%
State,Nebraska,All,2019-20,11,8,1,26,337,> 100%
State,Nebraska,All,2019-20,12,8.8,2,27,331,> 100%
State,Nebraska,All,2019-20,13,6,2,17,319,> 100%
State,Nebraska,All,2019-20,14,10.8,1,31,296,94.8%
State,Nebraska,All,2019-20,15,6,0,18,298,95.4%
State,Nebraska,All,2019-20,16,8,1,17,225,72%
State,Nebraska,All,2019-20,17,6.1,0,6,99,31.7%
State,Nevada,All,2019-20,40,5.7,0,26,460,> 100%
State,Nevada,All,2019-20,41,4.3,0,22,510,> 100%
State,Nevada,All,2019-20,42,6.7,0,28,415,94.5%
State,Nevada,All,2019-20,43,6.9,2,29,450,> 100%
State,Nevada,All,2019-20,44,6.3,0,30,474,> 100%
State,Nevada,All,2019-20,45,6.5,1,31,493,> 100%
State,Nevada,All,2019-20,46,7.3,2,33,478,> 100%
State,Nevada,All,2019-20,47,6.8,1,32,485,> 100%
State,Nevada,All,2019-20,48,5.9,0,28,478,> 100%
State,Nevada,All,2019-20,49,5.5,1,26,488,> 100%
State,Nevada,All,2019-20,50,6,0,30,502,> 100%
State,Nevada,All,2019-20,51,5,0,25,505,> 100%
State,Nevada,All,2019-20,52,5.6,4,25,515,> 100%
State,Nevada,All,2019-20,1,8.5,3,40,506,> 100%
State,Nevada,All,2019-20,2,6.1,2,30,528,> 100%
State,Nevada,All,2019-20,3,7,5,36,585,> 100%
State,Nevada,All,2019-20,4,7.7,4,39,561,> 100%
State,Nevada,All,2019-20,5,7,7,28,501,> 100%
State,Nevada,All,2019-20,6,8.7,5,43,549,> 100%
State,Nevada,All,2019-20,7,6.7,6,28,511,> 100%
State,Nevada,All,2019-20,8,4.7,1,24,532,> 100%
State,Nevada,All,2019-20,9,8.2,3,39,514,> 100%
State,Nevada,All,2019-20,10,6.9,4,31,504,> 100%
State,Nevada,All,2019-20,11,9.4,3,42,480,> 100%
State,Nevada,All,2019-20,12,9.6,3,42,471,> 100%
State,Nevada,All,2019-20,13,10.5,2,52,512,> 100%
State,Nevada,All,2019-20,14,11.7,0,63,540,> 100%
State,Nevada,All,2019-20,15,15.3,0,79,515,> 100%
State,Nevada,All,2019-20,16,7.8,1,31,411,93.6%
State,Nevada,All,2019-20,17,6.7,0,14,208,47.4%
State,New Hampshire,All,2019-20,40,6,0,14,234,> 100%
State,New Hampshire,All,2019-20,41,9.3,0,22,236,> 100%
State,New Hampshire,All,2019-20,42,5.5,0,14,254,> 100%
State,New Hampshire,All,2019-20,43,6.7,0,16,239,> 100%
State,New Hampshire,All,2019-20,44,4.4,0,11,252,> 100%
State,New Hampshire,All,2019-20,45,3.8,0,9,240,> 100%
State,New Hampshire,All,2019-20,46,5,0,12,241,> 100%
State,New Hampshire,All,2019-20,47,6.6,0,18,273,> 100%
State,New Hampshire,All,2019-20,48,4.9,0,12,245,> 100%
State,New Hampshire,All,2019-20,49,7.2,0,19,265,> 100%
State,New Hampshire,All,2019-20,50,5.6,0,15,268,> 100%
State,New Hampshire,All,2019-20,51,5.2,0,15,286,> 100%
State,New Hampshire,All,2019-20,52,6.2,0,16,257,> 100%
State,New Hampshire,All,2019-20,1,7.1,1,18,266,> 100%
State,New Hampshire,All,2019-20,2,7.9,3,18,267,> 100%
State,New Hampshire,All,2019-20,3,6.1,1,14,245,> 100%
State,New Hampshire,All,2019-20,4,5.8,0,14,240,> 100%
State,New Hampshire,All,2019-20,5,6.1,2,13,247,> 100%
State,New Hampshire,All,2019-20,6,5.5,4,10,256,> 100%
State,New Hampshire,All,2019-20,7,4.8,3,9,248,> 100%
State,New Hampshire,All,2019-20,8,8.5,2,22,284,> 100%
State,New Hampshire,All,2019-20,9,8.7,7,13,231,> 100%
State,New Hampshire,All,2019-20,10,7.1,2,18,281,> 100%
State,New Hampshire,All,2019-20,11,7.9,1,19,253,> 100%
State,New Hampshire,All,2019-20,12,7.8,2,18,255,> 100%
State,New Hampshire,All,2019-20,13,10,0,26,260,> 100%
State,New Hampshire,All,2019-20,14,6.7,1,16,252,> 100%
State,New Hampshire,All,2019-20,15,9.1,0,24,264,> 100%
State,New Hampshire,All,2019-20,16,8.8,0,21,240,> 100%
State,New Hampshire,All,2019-20,17,10.3,0,19,185,81.8%
State,New Jersey,All,2019-20,40,5.5,0,76,"1,373",98.9%
State,New Jersey,All,2019-20,41,5.3,0,75,"1,417",> 100%
State,New Jersey,All,2019-20,42,4.2,2,58,"1,425",> 100%
State,New Jersey,All,2019-20,43,4.5,1,65,"1,451",> 100%
State,New Jersey,All,2019-20,44,5.2,2,67,"1,328",95.6%
State,New Jersey,All,2019-20,45,5.3,0,78,"1,473",> 100%
State,New Jersey,All,2019-20,46,6,0,89,"1,495",> 100%
State,New Jersey,All,2019-20,47,3.5,1,51,"1,498",> 100%
State,New Jersey,All,2019-20,48,4.2,1,59,"1,441",> 100%
State,New Jersey,All,2019-20,49,5,2,76,"1,560",> 100%
State,New Jersey,All,2019-20,50,4.8,0,75,"1,571",> 100%
State,New Jersey,All,2019-20,51,4.6,0,68,"1,466",> 100%
State,New Jersey,All,2019-20,52,4.8,3,73,"1,584",> 100%
State,New Jersey,All,2019-20,1,4.8,6,73,"1,633",> 100%
State,New Jersey,All,2019-20,2,6.4,7,95,"1,590",> 100%
State,New Jersey,All,2019-20,3,6.4,15,81,"1,496",> 100%
State,New Jersey,All,2019-20,4,6.3,9,91,"1,578",> 100%
State,New Jersey,All,2019-20,5,6.3,10,85,"1,520",> 100%
State,New Jersey,All,2019-20,6,6.3,10,84,"1,499",> 100%
State,New Jersey,All,2019-20,7,5.7,8,77,"1,488",> 100%
State,New Jersey,All,2019-20,8,6.1,11,80,"1,496",> 100%
State,New Jersey,All,2019-20,9,6.5,12,90,"1,581",> 100%
State,New Jersey,All,2019-20,10,6.7,13,89,"1,524",> 100%
State,New Jersey,All,2019-20,11,6.4,9,84,"1,458",> 100%
State,New Jersey,All,2019-20,12,7.7,8,115,"1,590",> 100%
State,New Jersey,All,2019-20,13,15.8,11,319,"2,087",> 100%
State,New Jersey,All,2019-20,14,24.8,11,811,"3,308",> 100%
State,New Jersey,All,2019-20,15,28.7,8,"1,150","4,041",> 100%
State,New Jersey,All,2019-20,16,23.5,1,695,"2,960",> 100%
State,New Jersey,All,2019-20,17,10,2,98,"1,000",72%
State,New Mexico,All,2019-20,40,5,0,19,378,> 100%
State,New Mexico,All,2019-20,41,3,0,11,363,> 100%
State,New Mexico,All,2019-20,42,7.4,0,25,340,99.7%
State,New Mexico,All,2019-20,43,5.6,0,20,360,> 100%
State,New Mexico,All,2019-20,44,2.5,0,9,367,> 100%
State,New Mexico,All,2019-20,45,5.3,0,19,359,> 100%
State,New Mexico,All,2019-20,46,4.9,0,17,349,> 100%
State,New Mexico,All,2019-20,47,4.1,0,15,369,> 100%
State,New Mexico,All,2019-20,48,6,0,24,402,> 100%
State,New Mexico,All,2019-20,49,5.3,2,18,375,> 100%
State,New Mexico,All,2019-20,50,6.5,3,22,386,> 100%
State,New Mexico,All,2019-20,51,6.9,0,26,377,> 100%
State,New Mexico,All,2019-20,52,8.3,2,30,384,> 100%
State,New Mexico,All,2019-20,1,9.7,10,31,422,> 100%
State,New Mexico,All,2019-20,2,8.5,9,26,413,> 100%
State,New Mexico,All,2019-20,3,8.1,8,25,405,> 100%
State,New Mexico,All,2019-20,4,9.5,8,30,398,> 100%
State,New Mexico,All,2019-20,5,9,5,29,378,> 100%
State,New Mexico,All,2019-20,6,6.1,4,19,380,> 100%
State,New Mexico,All,2019-20,7,9.6,4,33,386,> 100%
State,New Mexico,All,2019-20,8,6.5,2,23,385,> 100%
State,New Mexico,All,2019-20,9,5.9,0,24,404,> 100%
State,New Mexico,All,2019-20,10,7.3,3,25,385,> 100%
State,New Mexico,All,2019-20,11,8.1,2,25,332,97.3%
State,New Mexico,All,2019-20,12,8.4,4,26,356,> 100%
State,New Mexico,All,2019-20,13,6.6,3,19,331,97%
State,New Mexico,All,2019-20,14,8.7,0,30,344,> 100%
State,New Mexico,All,2019-20,15,9.8,0,31,316,92.6%
State,New Mexico,All,2019-20,16,7.3,0,17,232,68%
State,New Mexico,All,2019-20,17,,Insufficient Data,Insufficient Data,Insufficient Data,< 20%
State,New York,All,2019-20,40,6.9,0,131,"1,892",99.6%
State,New York,All,2019-20,41,6.3,1,122,"1,952",> 100%
State,New York,All,2019-20,42,7.4,0,145,"1,955",> 100%
State,New York,All,2019-20,43,8.5,0,157,"1,844",97%
State,New York,All,2019-20,44,7.2,0,140,"1,957",> 100%
State,New York,All,2019-20,45,7.2,1,143,"1,988",> 100%
State,New York,All,2019-20,46,6.5,0,130,"2,006",> 100%
State,New York,All,2019-20,47,7.9,2,157,"2,002",> 100%
State,New York,All,2019-20,48,7.3,0,142,"1,958",> 100%
State,New York,All,2019-20,49,6.8,0,142,"2,090",> 100%
State,New York,All,2019-20,50,8.4,1,167,"2,003",> 100%
State,New York,All,2019-20,51,7.8,0,160,"2,039",> 100%
State,New York,All,2019-20,52,7.8,3,156,"2,037",> 100%
State,New York,All,2019-20,1,9.7,12,201,"2,193",> 100%
State,New York,All,2019-20,2,9.2,14,181,"2,123",> 100%
State,New York,All,2019-20,3,9.3,19,183,"2,177",> 100%
State,New York,All,2019-20,4,8.8,9,172,"2,058",> 100%
State,New York,All,2019-20,5,7.7,16,144,"2,065",> 100%
State,New York,All,2019-20,6,8.1,21,146,"2,074",> 100%
State,New York,All,2019-20,7,8.8,14,164,"2,030",> 100%
State,New York,All,2019-20,8,8.9,22,160,"2,052",> 100%
State,New York,All,2019-20,9,7.9,15,152,"2,120",> 100%
State,New York,All,2019-20,10,8.9,22,160,"2,040",> 100%
State,New York,All,2019-20,11,9.9,21,171,"1,941",> 100%
State,New York,All,2019-20,12,10.5,14,201,"2,053",> 100%
State,New York,All,2019-20,13,16.7,15,388,"2,419",> 100%
State,New York,All,2019-20,14,23.2,12,785,"3,431",> 100%
State,New York,All,2019-20,15,26.2,11,"1,078","4,156",> 100%
State,New York,All,2019-20,16,24.2,7,889,"3,695",> 100%
State,New York,All,2019-20,17,17.6,2,353,"2,022",> 100%
State,North Carolina,All,2019-20,40,5.6,2,101,"1,843",> 100%
State,North Carolina,All,2019-20,41,5.3,0,91,"1,714",> 100%
State,North Carolina,All,2019-20,42,5.4,0,97,"1,802",> 100%
State,North Carolina,All,2019-20,43,4.8,0,89,"1,872",> 100%
State,North Carolina,All,2019-20,44,5.2,0,90,"1,726",> 100%
State,North Carolina,All,2019-20,45,4.4,1,79,"1,812",> 100%
State,North Carolina,All,2019-20,46,5.5,1,102,"1,867",> 100%
State,North Carolina,All,2019-20,47,5.8,3,106,"1,893",> 100%
State,North Carolina,All,2019-20,48,6.2,5,106,"1,802",> 100%
State,North Carolina,All,2019-20,49,5.7,1,112,"2,000",> 100%
State,North Carolina,All,2019-20,50,6,5,110,"1,921",> 100%
State,North Carolina,All,2019-20,51,7.2,2,131,"1,852",> 100%
State,North Carolina,All,2019-20,52,5.8,7,108,"1,975",> 100%
State,North Carolina,All,2019-20,1,6.6,9,122,"1,971",> 100%
State,North Carolina,All,2019-20,2,7.2,16,127,"1,982",> 100%
State,North Carolina,All,2019-20,3,7.7,12,131,"1,865",> 100%
State,North Carolina,All,2019-20,4,7.1,12,125,"1,943",> 100%
State,North Carolina,All,2019-20,5,6.9,15,120,"1,955",> 100%
State,North Carolina,All,2019-20,6,7,20,120,"1,999",> 100%
State,North Carolina,All,2019-20,7,8.1,24,133,"1,947",> 100%
State,North Carolina,All,2019-20,8,7.7,27,109,"1,762",> 100%
State,North Carolina,All,2019-20,9,6.8,27,80,"1,576",93.2%
State,North Carolina,All,2019-20,10,6.4,10,66,"1,182",69.9%
State,North Carolina,All,2019-20,11,5.9,2,18,341,20.2%
State,North Carolina,All,2019-20,12,,Insufficient Data,Insufficient Data,Insufficient Data,< 20%
State,North Carolina,All,2019-20,13,,Insufficient Data,Insufficient Data,Insufficient Data,< 20%
State,North Carolina,All,2019-20,14,,Insufficient Data,Insufficient Data,Insufficient Data,< 20%
State,North Carolina,All,2019-20,15,,Insufficient Data,Insufficient Data,Insufficient Data,< 20%
State,North Carolina,All,2019-20,16,,Insufficient Data,Insufficient Data,Insufficient Data,< 20%
State,North Carolina,All,2019-20,17,,Insufficient Data,Insufficient Data,Insufficient Data,< 20%
State,North Dakota,All,2019-20,40,5.9,0,7,119,99.5%
State,North Dakota,All,2019-20,41,4.4,0,5,113,94.5%
State,North Dakota,All,2019-20,42,11.6,0,17,146,> 100%
State,North Dakota,All,2019-20,43,9,0,12,134,> 100%
State,North Dakota,All,2019-20,44,4.6,0,6,131,> 100%
State,North Dakota,All,2019-20,45,11.9,0,16,135,> 100%
State,North Dakota,All,2019-20,46,9.2,0,12,131,> 100%
State,North Dakota,All,2019-20,47,8,0,11,138,> 100%
State,North Dakota,All,2019-20,48,4.3,0,6,140,> 100%
State,North Dakota,All,2019-20,49,5.3,0,7,132,> 100%
State,North Dakota,All,2019-20,50,9.6,0,13,135,> 100%
State,North Dakota,All,2019-20,51,8.6,0,12,140,> 100%
State,North Dakota,All,2019-20,52,8.8,0,12,137,> 100%
State,North Dakota,All,2019-20,1,6.3,1,8,142,> 100%
State,North Dakota,All,2019-20,2,8.8,4,9,147,> 100%
State,North Dakota,All,2019-20,3,4.4,0,7,159,> 100%
State,North Dakota,All,2019-20,4,8.7,1,11,138,> 100%
State,North Dakota,All,2019-20,5,8.7,1,10,126,> 100%
State,North Dakota,All,2019-20,6,7.5,1,9,134,> 100%
State,North Dakota,All,2019-20,7,5.8,1,7,139,> 100%
State,North Dakota,All,2019-20,8,6.8,0,11,162,> 100%
State,North Dakota,All,2019-20,9,10.8,3,12,139,> 100%
State,North Dakota,All,2019-20,10,11.2,2,15,152,> 100%
State,North Dakota,All,2019-20,11,11.1,3,11,126,> 100%
State,North Dakota,All,2019-20,12,15.9,3,15,113,94.5%
State,North Dakota,All,2019-20,13,10.3,2,7,87,72.7%
State,North Dakota,All,2019-20,14,8.8,1,5,68,56.8%
State,North Dakota,All,2019-20,15,8,0,7,88,73.6%
State,North Dakota,All,2019-20,16,15.9,0,13,82,68.6%
State,North Dakota,All,2019-20,17,9.4,0,3,32,26.8%
State,Ohio,All,2019-20,40,4.5,0,101,"2,258",> 100%
State,Ohio,All,2019-20,41,4.8,1,112,"2,342",> 100%
State,Ohio,All,2019-20,42,3.8,0,88,"2,304",> 100%
State,Ohio,All,2019-20,43,4.5,0,103,"2,300",> 100%
State,Ohio,All,2019-20,44,4.3,0,103,"2,384",> 100%
State,Ohio,All,2019-20,45,4.3,0,108,"2,488",> 100%
State,Ohio,All,2019-20,46,4.7,0,114,"2,411",> 100%
State,Ohio,All,2019-20,47,3.8,3,90,"2,417",> 100%
State,Ohio,All,2019-20,48,4.2,0,101,"2,395",> 100%
State,Ohio,All,2019-20,49,5.1,1,124,"2,450",> 100%
State,Ohio,All,2019-20,50,4.6,1,113,"2,497",> 100%
State,Ohio,All,2019-20,51,4.6,2,110,"2,459",> 100%
State,Ohio,All,2019-20,52,5,3,123,"2,541",> 100%
State,Ohio,All,2019-20,1,6,15,137,"2,551",> 100%
State,Ohio,All,2019-20,2,6.5,13,157,"2,615",> 100%
State,Ohio,All,2019-20,3,6.6,10,153,"2,457",> 100%
State,Ohio,All,2019-20,4,5.8,19,128,"2,549",> 100%
State,Ohio,All,2019-20,5,6.2,27,127,"2,480",> 100%
State,Ohio,All,2019-20,6,6,18,134,"2,518",> 100%
State,Ohio,All,2019-20,7,6.6,22,140,"2,449",> 100%
State,Ohio,All,2019-20,8,5.4,18,117,"2,502",> 100%
State,Ohio,All,2019-20,9,6.4,30,126,"2,428",> 100%
State,Ohio,All,2019-20,10,6.5,18,136,"2,383",> 100%
State,Ohio,All,2019-20,11,7.1,39,127,"2,323",> 100%
State,Ohio,All,2019-20,12,7.2,22,127,"2,070",92.7%
State,Ohio,All,2019-20,13,8.3,21,156,"2,132",95.5%
State,Ohio,All,2019-20,14,8.1,7,164,"2,114",94.7%
State,Ohio,All,2019-20,15,6.7,5,113,"1,759",78.8%
State,Ohio,All,2019-20,16,5.5,1,54,"1,006",45%
State,Ohio,All,2019-20,17,,Insufficient Data,Insufficient Data,Insufficient Data,< 20%
State,Oklahoma,All,2019-20,40,6.9,1,48,709,94.6%
State,Oklahoma,All,2019-20,41,7.1,0,52,729,97.3%
State,Oklahoma,All,2019-20,42,7.5,0,61,809,> 100%
State,Oklahoma,All,2019-20,43,6.9,2,48,728,97.1%
State,Oklahoma,All,2019-20,44,7.1,1,52,748,99.8%
State,Oklahoma,All,2019-20,45,6.7,0,57,847,> 100%
State,Oklahoma,All,2019-20,46,8.5,1,69,827,> 100%
State,Oklahoma,All,2019-20,47,7.7,1,61,803,> 100%
State,Oklahoma,All,2019-20,48,8.8,1,69,800,> 100%
State,Oklahoma,All,2019-20,49,10.7,0,84,787,> 100%
State,Oklahoma,All,2019-20,50,9.1,1,76,846,> 100%
State,Oklahoma,All,2019-20,51,8.3,3,67,843,> 100%
State,Oklahoma,All,2019-20,52,9.7,4,74,806,> 100%
State,Oklahoma,All,2019-20,1,9.6,7,81,913,> 100%
State,Oklahoma,All,2019-20,2,9.1,9,66,826,> 100%
State,Oklahoma,All,2019-20,3,9.3,5,69,792,> 100%
State,Oklahoma,All,2019-20,4,10.3,1,72,710,94.7%
State,Oklahoma,All,2019-20,5,10.4,7,69,729,97.3%
State,Oklahoma,All,2019-20,6,7.9,6,58,807,> 100%
State,Oklahoma,All,2019-20,7,11.1,8,81,802,> 100%
State,Oklahoma,All,2019-20,8,10.1,6,71,762,> 100%
State,Oklahoma,All,2019-20,9,11,15,72,789,> 100%
State,Oklahoma,All,2019-20,10,10.6,18,63,765,> 100%
State,Oklahoma,All,2019-20,11,11.9,15,74,749,99.9%
State,Oklahoma,All,2019-20,12,9.1,3,69,787,> 100%
State,Oklahoma,All,2019-20,13,10.7,10,72,766,> 100%
State,Oklahoma,All,2019-20,14,11.8,4,74,663,88.5%
State,Oklahoma,All,2019-20,15,11.3,2,73,661,88.2%
State,Oklahoma,All,2019-20,16,7.3,1,32,449,59.9%
State,Oklahoma,All,2019-20,17,7,0,15,213,28.4%
State,Oregon,All,2019-20,40,4.3,0,31,724,> 100%
State,Oregon,All,2019-20,41,4.9,0,33,680,> 100%
State,Oregon,All,2019-20,42,4.3,0,32,742,> 100%
State,Oregon,All,2019-20,43,4.7,0,34,730,> 100%
State,Oregon,All,2019-20,44,3.6,0,26,716,> 100%
State,Oregon,All,2019-20,45,5,0,38,762,> 100%
State,Oregon,All,2019-20,46,4.4,1,32,748,> 100%
State,Oregon,All,2019-20,47,3.7,2,24,699,> 100%
State,Oregon,All,2019-20,48,3.9,1,27,727,> 100%
State,Oregon,All,2019-20,49,4.6,1,32,713,> 100%
State,Oregon,All,2019-20,50,4.6,0,35,756,> 100%
State,Oregon,All,2019-20,51,4.6,0,34,744,> 100%
State,Oregon,All,2019-20,52,5.4,1,39,740,> 100%
State,Oregon,All,2019-20,1,7.2,11,42,737,> 100%
State,Oregon,All,2019-20,2,5.6,5,38,763,> 100%
State,Oregon,All,2019-20,3,7.5,7,51,774,> 100%
State,Oregon,All,2019-20,4,5.3,6,34,751,> 100%
State,Oregon,All,2019-20,5,5,5,31,715,> 100%
State,Oregon,All,2019-20,6,5.6,6,35,731,> 100%
State,Oregon,All,2019-20,7,5.4,1,40,766,> 100%
State,Oregon,All,2019-20,8,5.5,5,35,726,> 100%
State,Oregon,All,2019-20,9,5.6,5,36,734,> 100%
State,Oregon,All,2019-20,10,5.6,10,34,785,> 100%
State,Oregon,All,2019-20,11,6.7,11,37,720,> 100%
State,Oregon,All,2019-20,12,7,4,48,739,> 100%
State,Oregon,All,2019-20,13,6.3,5,40,720,> 100%
State,Oregon,All,2019-20,14,6.9,1,44,650,96.4%
State,Oregon,All,2019-20,15,6.8,1,37,558,82.7%
State,Oregon,All,2019-20,16,3.6,0,14,387,57.4%
State,Oregon,All,2019-20,17,4.2,0,7,168,24.9%
State,Pennsylvania,All,2019-20,40,4.6,2,106,"2,323",92.1%
State,Pennsylvania,All,2019-20,41,4.1,0,95,"2,297",91.1%
State,Pennsylvania,All,2019-20,42,5.5,0,139,"2,507",99.4%
State,Pennsylvania,All,2019-20,43,5.2,0,129,"2,495",98.9%
State,Pennsylvania,All,2019-20,44,4.5,3,110,"2,512",99.6%
State,Pennsylvania,All,2019-20,45,4.6,0,114,"2,483",98.4%
State,Pennsylvania,All,2019-20,46,5.2,2,136,"2,629",> 100%
State,Pennsylvania,All,2019-20,47,4.6,1,113,"2,500",99.1%
State,Pennsylvania,All,2019-20,48,4.2,0,108,"2,542",> 100%
State,Pennsylvania,All,2019-20,49,4.8,0,126,"2,641",> 100%
State,Pennsylvania,All,2019-20,50,4.8,2,130,"2,728",> 100%
State,Pennsylvania,All,2019-20,51,4.9,4,130,"2,744",> 100%
State,Pennsylvania,All,2019-20,52,5.1,3,138,"2,743",> 100%
State,Pennsylvania,All,2019-20,1,6.7,17,161,"2,648",> 100%
State,Pennsylvania,All,2019-20,2,6,15,131,"2,432",96.4%
State,Pennsylvania,All,2019-20,3,6.1,13,131,"2,375",94.2%
State,Pennsylvania,All,2019-20,4,7.1,18,135,"2,166",85.9%
State,Pennsylvania,All,2019-20,5,6.1,10,109,"1,949",77.3%
State,Pennsylvania,All,2019-20,6,5.3,15,89,"1,971",78.1%
State,Pennsylvania,All,2019-20,7,6.7,15,114,"1,928",76.4%
State,Pennsylvania,All,2019-20,8,6,13,102,"1,922",76.2%
State,Pennsylvania,All,2019-20,9,6,15,103,"1,965",77.9%
State,Pennsylvania,All,2019-20,10,6.9,27,106,"1,920",76.1%
State,Pennsylvania,All,2019-20,11,7.3,26,124,"2,044",81%
State,Pennsylvania,All,2019-20,12,8.3,20,162,"2,185",86.6%
State,Pennsylvania,All,2019-20,13,8.3,20,191,"2,528",> 100%
State,Pennsylvania,All,2019-20,14,9.5,10,256,"2,790",> 100%
State,Pennsylvania,All,2019-20,15,13.3,4,412,"3,132",> 100%
State,Pennsylvania,All,2019-20,16,12.4,3,356,"2,903",> 100%
State,Pennsylvania,All,2019-20,17,6.3,1,51,828,32.8%
State,Rhode Island,All,2019-20,40,3.3,0,6,184,96.9%
State,Rhode Island,All,2019-20,41,6.8,0,13,192,> 100%
State,Rhode Island,All,2019-20,42,5.1,0,10,196,> 100%
